CVE,Severity_score,Exploitability_score,Impact_score,Access_complexity,Severity
CVE-2001-0284,10.0,10.0,10.0,LOW,HIGH
CVE-2002-0414,7.5,10.0,6.4,LOW,HIGH
CVE-2003-0429,7.5,10.0,6.4,LOW,HIGH
CVE-2003-0567,7.8,10.0,6.9,LOW,HIGH
CVE-2003-1114,7.5,10.0,6.4,LOW,HIGH
CVE-2003-1604,7.8,10.0,6.9,LOW,HIGH
CVE-2005-1192,5.0,10.0,2.9,LOW,MEDIUM
CVE-2005-2555,4.6,3.9,6.4,LOW,MEDIUM
CVE-2005-2709,4.6,3.9,6.4,LOW,MEDIUM
CVE-2006-1342,2.1,3.9,2.9,LOW,LOW
CVE-2006-1343,2.1,3.9,2.9,LOW,LOW
CVE-2006-3202,4.9,3.9,6.9,LOW,MEDIUM
CVE-2006-3825,2.1,3.9,2.9,LOW,LOW
CVE-2006-6264,7.5,10.0,6.4,LOW,HIGH
CVE-2007-0479,7.8,10.0,6.9,LOW,HIGH
CVE-2007-1338,7.5,10.0,6.4,LOW,HIGH
CVE-2007-1861,4.9,3.9,6.9,LOW,MEDIUM
CVE-2007-2172,4.7,3.4,6.9,MEDIUM,MEDIUM
CVE-2007-2480,4.6,3.9,6.4,LOW,MEDIUM
CVE-2007-5501,7.8,10.0,6.9,LOW,HIGH
CVE-2008-1153,7.1,8.6,6.9,MEDIUM,HIGH
CVE-2008-1483,6.9,3.4,10.0,MEDIUM,MEDIUM
CVE-2008-5661,5.4,4.9,6.9,HIGH,MEDIUM
CVE-2008-5828,5.0,10.0,2.9,LOW,MEDIUM
CVE-2009-0687,7.8,10.0,6.9,LOW,HIGH
CVE-2009-0778,7.1,8.6,6.9,MEDIUM,HIGH
CVE-2009-0939,10.0,10.0,10.0,LOW,HIGH
CVE-2009-1243,2.1,3.9,2.9,LOW,LOW
CVE-2009-1298,7.8,10.0,6.9,LOW,HIGH
CVE-2009-2698,7.2,3.9,10.0,LOW,HIGH
CVE-2009-4272,7.8,10.0,6.9,LOW,HIGH
CVE-2009-4536,7.8,10.0,6.9,LOW,HIGH
CVE-2009-4537,7.8,10.0,6.9,LOW,HIGH
CVE-2010-0308,4.0,8.0,2.9,LOW,MEDIUM
CVE-2010-0812,6.4,10.0,4.9,LOW,MEDIUM
CVE-2010-1188,7.1,8.6,6.9,MEDIUM,HIGH
CVE-2010-2951,5.0,10.0,2.9,LOW,MEDIUM
CVE-2010-3880,4.9,3.9,6.9,LOW,MEDIUM
CVE-2010-4161,4.9,3.9,6.9,LOW,MEDIUM
CVE-2010-4165,4.9,3.9,6.9,LOW,MEDIUM
CVE-2011-0943,7.8,10.0,6.9,LOW,HIGH
CVE-2011-1002,5.0,10.0,2.9,LOW,MEDIUM
CVE-2011-1170,2.1,3.9,2.9,LOW,LOW
CVE-2011-1171,2.1,3.9,2.9,LOW,LOW
CVE-2011-1547,6.8,8.6,6.4,MEDIUM,MEDIUM
