CVE-2021-45487,cryptographic measures,generation algorithm,measures,NetBSD,generation
CVE-2021-45486,Linux kernel,information leak,hash table,net,Linux
CVE-2021-45387,Reachable Assertion,Assertion in add,tcpreplay,tree,Reachable
CVE-2021-33571,octal literals,prohibit leading,leading zero characters,characters in octal,validate
CVE-2021-33033,Linux kernel,CALIPSO refcounting,DOI definitions,genopt in net,definitions is mishandled
CVE-2021-29922,unexpected octal interpretation,bypass access control,parser.rs in Rust,address string,octal interpretation
CVE-2021-29921,ipaddress library mishandles,library mishandles leading,address string,ipaddress library,library mishandles
CVE-2021-28505,Arista EOS platforms,affected Arista EOS,subsequent ACL rules,VXLAN match rule,match rule exists
CVE-2021-28504,Arista Strata family,Strata family products,Arista Strata,TCAM profile,enabled when Port
CVE-2021-24016,Fortinet FortiManager version,execute arbitrary commands,Fortinet FortiManager,FortiManager version,commands via crafted
CVE-2021-1394,Network Convergence System,Cisco Network Convergence,Convergence System,Cisco IOS,Cisco Network
CVE-2021-1353,handling of Cisco,Cisco StarOS,affected device,protocol handling,denial of service
CVE-2020-7524,Schneider Electric Modicon,Write vulnerability exists,Logic Controller,sending specific crafted,Electric Modicon
CVE-2020-6111,Series B FRN,Controller Systems Series,Programmable Logic Controller,Logic Controller Systems,FRN
CVE-2020-5204,buffer overflow vulnerability,user input based,format specifier string,PORT in ftpcmd.c,vulnerability in handle
CVE-2020-25767,HCC Embedded NicheStack,HCC Embedded,Embedded NicheStack,discovered in HCC,issue was discovered
CVE-2020-16849,discovered on Canon,Length Parameter Inconsistency,expose Sensitive Information,Parameter Inconsistency,Sensitive Information
CVE-2020-1605,Configuration Protocol Daemon,Dynamic Host Configuration,Host Configuration Protocol,Network Dynamic Host,Juniper Network Dynamic
CVE-2020-1602,Configuration Protocol Daemon,Dynamic Host Configuration,Host Configuration Protocol,Network Dynamic Host,Juniper Network Dynamic
CVE-2020-15590,Private Internet Access,Client for Linux,read sensitive information,Internet Access,Private Internet
CVE-2020-13988,discovered in Contiki,Integer Overflow exists,issue was discovered,TCP MSS options,parsing TCP MSS
CVE-2020-13987,discovered in Contiki,issue was discovered,Read vulnerability exists,Read vulnerability,uIP TCP
CVE-2020-13817,predicting transmit timestamps,system time change,denial of service,daemon exit,spoofed packets
CVE-2020-11909,Integer Underflow,Treck TCP,TCP,Integer,Underflow
CVE-2020-11900,tunneling Double Free,Treck TCP,Double Free,tunneling Double,TCP
CVE-2020-11898,Length Parameter Inconsistency,Treck TCP,Length Parameter,Parameter Inconsistency,improperly handles
CVE-2020-11896,Remote Code Execution,Treck TCP,Code Execution,Remote Code,tunneling
CVE-2019-9162,array index error,local privilege escalation,SNMP NAT module,Linux kernel,OOPS or local
CVE-2019-8580,Station Firmware Update,Base Station Firmware,Firmware Update,AirPort Base Station,Base Station
CVE-2019-8319,devices with firmware,discovered on D-Link,Command Injection,Command Injection allowing,command Injection vulnerability
CVE-2019-8315,devices with firmware,discovered on D-Link,Command Injection,Command Injection allowing,command Injection vulnerability
CVE-2019-19241,uring feature leads,inadvertently have UID,uring feature,full capabilities,feature leads
CVE-2019-18805,Linux kernel,issue was discovered,net,Linux,sysctl
CVE-2019-1751,Network Address Translation,Cisco IOS Software,Address Translation,Network Address,Cisco IOS
CVE-2019-1708,Key Exchange Version,Adaptive Security Appliance,Firepower Threat Defense,Internet Key Exchange,Cisco Adaptive Security
CVE-2019-16411,discovered in Suricata,issue was discovered,Suricata,bytes,flag
CVE-2019-16410,discovered in Suricata,issue was discovered,Suricata,sending multiple fragmented,len checking
CVE-2019-15239,output.c change,fixed by backporting,properly incorporated,incorrectly backported,earlier longterm kernels
CVE-2019-13951,stack-based buffer overflow,function in zscan,long and malformed,address in zone,zone data
CVE-2019-12664,Series Integrated Services,Integrated Services Routers,Series Integrated,Services Routers,Cisco IOS
CVE-2019-12381,Linux kernel,control in net,issue was discovered,NULL pointer dereference,Linux
CVE-2019-12264,Incorrect Access Control,Wind River VxWorks,DHCP client component,ipdhcpc DHCP client,Incorrect Access
CVE-2019-12256,Wind River VxWorks,Wind River,River VxWorks,Buffer Overflow,Stack overflow
CVE-2019-11683,Linux kernel,segment in net,memory corruption,denial of service,GRO packet
CVE-2019-0066,Next-Generation Multicast VPN,device running BGP,Juniper Networks Junos,Multicast VPN,versions prior
CVE-2019-0033,proxy ARP service,high CPU condition,CPU condition leading,Juniper Networks Junos,firewall bypass vulnerability
CVE-2018-9158,Firmware version,discovered on AXIS,issue was discovered,AXIS,Firmware
CVE-2018-7798,Data Authenticity,Insufficient Verification,Verification of Data,mask and gateway,vulnerability exists
CVE-2018-20503,Allied Telesis,devices allow XSS,mask parameter,interface.php vlanid,vlanid or subnet
CVE-2018-19082,Foscam Opticam,System Firmware,Application Firmware,devices with System,discovered on Foscam
CVE-2018-19081,Foscam Opticam,System Firmware,Application Firmware,devices with System,discovered on Foscam
CVE-2018-18442,mechanism to prevent,employ a suitable,suitable mechanism,D-Link,DoS
CVE-2018-15391,Cisco Remote PHY,Remote PHY Software,Cisco Remote,Remote PHY,functions of Cisco
CVE-2018-14641,Linux kernel,function in net,security flaw,flaw was found,system crash
CVE-2018-11492,packet flood,ASUS,devices allow denial,denial of service,devices
CVE-2018-10938,Linux kernel present,Linux Security Module,kernel present,Linux kernel,Linux Security
CVE-2018-0369,npusim process,Cisco Virtualized Packet,npusim process running,Cisco StarOS running,npusim
CVE-2018-0252,Series Wireless LAN,Wireless LAN Controllers,LAN Controller Software,Series Wireless,Wireless LAN
CVE-2018-0241,UDP broadcast forwarding,UDP broadcast packets,broadcast forwarding function,UDP broadcast,Cisco IOS
